Name,URL,Categories,Tags,Modality,Status,Description
CapDec Image Captioning,https://huggingface.co/spaces/johko/capdec-image-captioning,Socially Conscious,"Accessibility, Image Captioning","Image, Language",,
Interactive demo: comparing image captioning models,https://huggingface.co/spaces/nielsr/comparing-captioning-models,Socially Conscious,"Accessibility, Image Captioning","Image, Language",,
TorToiSe,https://huggingface.co/spaces/mdnestor/tortoise,Socially Conscious,"Accessibility, Text-to-Speech","Audio, Language",,
Umamusume voice synthesizer,https://huggingface.co/spaces/Plachta/VITS-Umamusume-voice-synthesizer,Socially Conscious,"Accessibility, Text-to-Speech","Audio, Language",,
Whisper speaker diarization,https://huggingface.co/spaces/vumichien/whisper-speaker-diarization,Socially Conscious,"Accessibility, Speech-to-Text","Audio, Language",,
coqui-ai-TTS,https://huggingface.co/spaces/akhaliq/coqui-ai-tts,Socially Conscious,"Accessibility, Text-to-Speech","Audio, Language",,
,https://huggingface.co/spaces/team-writing-assistant/grammar-correction,Socially Conscious,,,Broken / Not Worth,
Legal Contract Review Demo,https://huggingface.co/spaces/marshmellow77/contract-review,Socially Conscious,"Accessibility, Contract Understanding, Legal",Language,,
Automatic Readability Assessment of Texts in Spanish,https://huggingface.co/spaces/hackathon-pln-es/readability-assessment-spanish,Socially Conscious,"Accessibility, Readability",Language,,
Contract Understanding Atticus Dataset (CUAD) Demo,https://huggingface.co/spaces/akdeniz27/contract-understanding-atticus-dataset-demo,Socially Conscious,"Accessibility, Contract Understanding, Legal",Language,,
MediaPipe's Hand & Finger Tracking,https://huggingface.co/spaces/EuroPython2022/mediapipe-hands,Socially Conscious,"Accessibility, Hand Tracking, Sign Language",Video,,
AmericanSignLanguage Detection,https://huggingface.co/spaces/datasciencedojo/AmericanSignLanguage-Detection,Socially Conscious,"Accessibility, Sign Language",Video,,
,https://huggingface.co/spaces/Jayeshbhaal/news_filter_for_social_wellbeing,,,,Broken / Not Worth,
Speech Recognition from Visual Lip Movement by Audio-Visual Hidden Unit BERT Model (AV-HuBERT),https://huggingface.co/spaces/vumichien/lip_movement_reading,Socially Conscious,"Accessibility, Lip Movement",Video,,
Mongolian GPT2,https://huggingface.co/spaces/flax-community/Mongolian-GPT2,Inclusive,Languages,Language,,
Tamil Language Demos,https://huggingface.co/spaces/flax-community/TamilLanguageDemos,Inclusive,Languages,Language,,
Translate Between 100 languages,https://huggingface.co/spaces/jason9693/m2m-100,Inclusive,Languages,Language,,
British Library 19th Century Books Genre Classifier,https://huggingface.co/spaces/BritishLibraryLabs/British-Library-books-genre-classifier,Socially Conscious,Digital Humanities,Language,,
doc-ufcn Page Detection Demo,https://huggingface.co/spaces/davanstrien/Doc-UFCN,Socially Conscious,Digital Humanities,"Image, Language",,
Modern Chinese To Ancient Translate Wenyanwen,https://huggingface.co/spaces/raynardj/modern-chinese-to-ancient-translate-wenyanwen,Socially Conscious,"Digital Humanities, Languages",Language,,
Duguwen Classical Chinese To Morden Translate,https://huggingface.co/spaces/raynardj/duguwen-classical-chinese-to-morden-translate,Socially Conscious,"Digital Humanities, Languages",Language,,
,https://huggingface.co/spaces/HalflingWizard/Shereno-Word-Cloud,,,,Broken / Not Worth,
Spanish to Quechua translation,https://huggingface.co/spaces/hackathon-pln-es/spanish-to-quechua-translation,"Inclusive, Socially Conscious","Digital Humanities, Language Revitalization, Languages",Language,,
,https://huggingface.co/spaces/flax-community/multilingual-image-captioning,,,,Broken / Not Worth,
MMTAfrica: Multilingual Machine Translation,https://huggingface.co/spaces/edaiofficial/mmtafrica,"Inclusive, Socially Conscious",Languages,Language,,
Modern English to Middle English Translator,https://huggingface.co/spaces/Qilex/EnglishToMiddleEnglish,Socially Conscious,"Digital Humanities, Languages",Language,,
Gender Neutral Converter,https://huggingface.co/spaces/vilimus/Gender-Neutral-Converter,"Inquisitive, Socially Conscious","LGBTQIA2S+, Languages",Language,,
Cite Diversely,https://huggingface.co/spaces/cmudrc/cite-diversely,"Inclusive, Inquisitive, Socially Conscious",Research Methods,Other,,
Spanish Text Neutralization app,https://huggingface.co/spaces/hackathon-pln-es/es_nlp_gender_neutralizer,"Inquisitive, Socially Conscious","LGBTQIA2S+, Languages",Language,,
GayFriendlyTownFinder,https://huggingface.co/spaces/GlassWalker/GayFriendlyTownFinder,Socially Conscious,LGBTQIA2S+,Other,,
