,Name,URL,Categories,Tags,Modality,Status,Description,likes
0,CapDec Image Captioning,https://huggingface.co/spaces/johko/capdec-image-captioning,Socially Conscious,"Accessibility, Image Captioning","Image, Language",,,31.0
1,Interactive demo: comparing image captioning models,https://huggingface.co/spaces/nielsr/comparing-captioning-models,Socially Conscious,"Accessibility, Image Captioning","Image, Language",,,128.0
2,TorToiSe,https://huggingface.co/spaces/mdnestor/tortoise,Socially Conscious,"Accessibility, Text-to-Speech","Audio, Language",,,110.0
3,Umamusume voice synthesizer,https://huggingface.co/spaces/Plachta/VITS-Umamusume-voice-synthesizer,Socially Conscious,"Accessibility, Text-to-Speech","Audio, Language",,,58.0
4,Whisper speaker diarization,https://huggingface.co/spaces/vumichien/whisper-speaker-diarization,Socially Conscious,"Accessibility, Speech-to-Text","Audio, Language",,,182.0
5,coqui-ai-TTS,https://huggingface.co/spaces/akhaliq/coqui-ai-tts,Socially Conscious,"Accessibility, Text-to-Speech","Audio, Language",,,8.0
6,,https://huggingface.co/spaces/team-writing-assistant/grammar-correction,Socially Conscious,,,Broken / Not Worth,,
7,Legal Contract Review Demo,https://huggingface.co/spaces/marshmellow77/contract-review,Socially Conscious,"Accessibility, Contract Understanding, Legal",Language,,,10.0
8,Automatic Readability Assessment of Texts in Spanish,https://huggingface.co/spaces/hackathon-pln-es/readability-assessment-spanish,Socially Conscious,"Accessibility, Readability",Language,,,13.0
9,Contract Understanding Atticus Dataset (CUAD) Demo,https://huggingface.co/spaces/akdeniz27/contract-understanding-atticus-dataset-demo,Socially Conscious,"Accessibility, Contract Understanding, Legal",Language,,,5.0
10,MediaPipe's Hand & Finger Tracking,https://huggingface.co/spaces/EuroPython2022/mediapipe-hands,Socially Conscious,"Accessibility, Hand Tracking, Sign Language",Video,,,2.0
11,AmericanSignLanguage Detection,https://huggingface.co/spaces/datasciencedojo/AmericanSignLanguage-Detection,Socially Conscious,"Accessibility, Sign Language",Video,,,0.0
12,,https://huggingface.co/spaces/Jayeshbhaal/news_filter_for_social_wellbeing,,,,Broken / Not Worth,,
13,Speech Recognition from Visual Lip Movement by Audio-Visual Hidden Unit BERT Model (AV-HuBERT),https://huggingface.co/spaces/vumichien/lip_movement_reading,Socially Conscious,"Accessibility, Lip Movement",Video,,,60.0
14,Mongolian GPT2,https://huggingface.co/spaces/flax-community/Mongolian-GPT2,Inclusive,Languages,Language,,,2.0
15,Tamil Language Demos,https://huggingface.co/spaces/flax-community/TamilLanguageDemos,Inclusive,Languages,Language,,,2.0
16,Translate Between 100 languages,https://huggingface.co/spaces/jason9693/m2m-100,Inclusive,Languages,Language,,,3.0
17,British Library 19th Century Books Genre Classifier,https://huggingface.co/spaces/BritishLibraryLabs/British-Library-books-genre-classifier,Socially Conscious,Digital Humanities,Language,,,6.0
18,doc-ufcn Page Detection Demo,https://huggingface.co/spaces/davanstrien/Doc-UFCN,Socially Conscious,Digital Humanities,"Image, Language",,,4.0
19,Modern Chinese To Ancient Translate Wenyanwen,https://huggingface.co/spaces/raynardj/modern-chinese-to-ancient-translate-wenyanwen,Socially Conscious,"Digital Humanities, Languages",Language,,,4.0
20,Duguwen Classical Chinese To Morden Translate,https://huggingface.co/spaces/raynardj/duguwen-classical-chinese-to-morden-translate,Socially Conscious,"Digital Humanities, Languages",Language,,,2.0
21,,https://huggingface.co/spaces/HalflingWizard/Shereno-Word-Cloud,,,,Broken / Not Worth,,
22,Spanish to Quechua translation,https://huggingface.co/spaces/hackathon-pln-es/spanish-to-quechua-translation,"Inclusive, Socially Conscious","Digital Humanities, Language Revitalization, Languages",Language,,,5.0
23,,https://huggingface.co/spaces/flax-community/multilingual-image-captioning,,,,Broken / Not Worth,,
24,MMTAfrica: Multilingual Machine Translation,https://huggingface.co/spaces/edaiofficial/mmtafrica,"Inclusive, Socially Conscious",Languages,Language,,,7.0
25,Modern English to Middle English Translator,https://huggingface.co/spaces/Qilex/EnglishToMiddleEnglish,Socially Conscious,"Digital Humanities, Languages",Language,,,3.0
26,Gender Neutral Converter,https://huggingface.co/spaces/vilimus/Gender-Neutral-Converter,"Inquisitive, Socially Conscious","LGBTQIA2S+, Languages",Language,,,0.0
27,Cite Diversely,https://huggingface.co/spaces/cmudrc/cite-diversely,"Inclusive, Inquisitive, Socially Conscious",Research Methods,Other,,,1.0
28,Spanish Text Neutralization app,https://huggingface.co/spaces/hackathon-pln-es/es_nlp_gender_neutralizer,"Inquisitive, Socially Conscious","LGBTQIA2S+, Languages",Language,,,14.0
29,GayFriendlyTownFinder,https://huggingface.co/spaces/GlassWalker/GayFriendlyTownFinder,Socially Conscious,LGBTQIA2S+,Other,,,0.0
30,,https://huggingface.co/spaces/abidlabs/Gradio-Demo-of-BLM-Photo-Anonymizer,,,,Broken / Not Worth,,
31,Deepfake Detection,https://huggingface.co/spaces/aaronespasa/deepfake-detection,Socially Conscious,Deepfake Detection,Image,,,2.0
32,EfficientNetV2 Deepfakes Video Detector,https://huggingface.co/spaces/Ron0420/EfficientNetV2_Deepfakes_Video_Detector,"Socially Conscious, Sustainable","Deepfake Detection, Efficient",Video,,,9.0
33,PP4AV: Deep Learning model for Data Anonymization in Autonomous Driving,https://huggingface.co/spaces/khaclinh/self-driving-anonymization,Consentful,"Anonymization, Privacy",Image,,,1.0
34,IMS Speaker Anonymization,https://huggingface.co/spaces/sarinam/speaker-anonymization,Consentful,"Anonymization, Privacy, Voice",Audio,,,1.0
35,"ZAMA: Machine Learning, Natural Language Processing and Fully Homomorphic Encryption to do Sentiment Analysis on Encrypted data.",https://huggingface.co/spaces/zama-fhe/encrypted_sentiment_analysis,Consentful,"Homomorphic Encryption, Privacy",Language,,,49.0
36,Fake News Detector (Spanish),https://huggingface.co/spaces/Narrativa/fake-news-detection-spanish,Socially Conscious,Fake News Detection,Language,,,3.0
37,,https://huggingface.co/spaces/adrianmoses/hate-speech-detection,,,,Broken / Not Worth,,
38,,https://huggingface.co/spaces/khalidsaifullaah/Threat-Detection-From-Bengali-Voice-Calls,,,,Broken / Not Worth,,
39,,https://huggingface.co/spaces/justinqbui/Covid-Tweet-True-False-Classification,,,,Broken / Not Worth,,
40,,https://huggingface.co/spaces/Amrrs/dbias-recognizer,,,,Broken / Not Worth,,
41,,https://huggingface.co/spaces/sagittariusA/media_bias_detection_CS,,,,Broken / Not Worth,,
42,Fake_tweet_detector,https://huggingface.co/spaces/chinhon/fake_tweet_detector,Socially Conscious,Fake News Detection,Language,,,8.0
43,,https://huggingface.co/spaces/akykeung/News-Article-Bias-Recognizer,,,,Broken / Not Worth,,
44,,https://huggingface.co/spaces/aymm/Task-Exploration-Hate-Speech,,,,Broken / Not Worth,,
45,Análisis de comentarios sexistas en Twitter,https://huggingface.co/spaces/hackathon-pln-es/Sexismdetection,Socially Conscious,"Hate Detection, Sexism",Language,,,6.0
46,,https://huggingface.co/spaces/EdBianchi/Social_Toximeter,,,,Broken / Not Worth,,
47,Spanish Audio Transcription Based Harassment Detection,https://huggingface.co/spaces/CVMX-jaca-tonos/Spanish-Audio-Transcription-based-Harassment-Detection,Socially Conscious,Hate Detection,"Audio, Language",,,0.0
48,LOREN,https://huggingface.co/spaces/Jiangjie/loren-fact-checking,Socially Conscious,Fact Checking,Language,,,9.0
49,,https://huggingface.co/spaces/Joshua1808/Sexism,,,,Broken / Not Worth,,
50,Fact Checking 🎸 Rocks!,https://huggingface.co/spaces/anakin87/fact-checking-rocks,Socially Conscious,Fact Checking,Language,,,21.0
51,DataMeasurementsTool,https://huggingface.co/spaces/huggingface/data-measurements-tool,Rigorous,Data Exploration,,,,0.0
52,Chat Noir,https://huggingface.co/spaces/webis/chat-noir,Rigorous,Data Exploration,Language,,,3.0
53,Predicting masked words in legal text,https://huggingface.co/spaces/muhtasham/legalBERT,Socially Conscious,Legal,Language,,,4.0
54,PAIR: Measuring Fairness,https://huggingface.co/spaces/merve/measuring-fairness,"Inclusive, Rigorous","Educational, Fairness & Bias",,,,1.0
55,PAIR: Are Model Predictions Probabilities?,https://huggingface.co/spaces/merve/uncertainty-calibration,Rigorous,Educational,,,,3.0
56,PAIR: Can a Model Be Differentially Private and Fair?,https://huggingface.co/spaces/merve/private-and-fair,"Consentful, Rigorous","Educational, Fairness & Bias, Privacy",,,,0.0
57,PAIR: Measuring Diversity,https://huggingface.co/spaces/merve/measuring-diversity,"Inclusive, Rigorous","Data Exploration, Diversity, Educational",,,,0.0
58,PAIR: What Have Language Models Learned?,https://huggingface.co/spaces/merve/fill-in-the-blank,Rigorous,"Educational, Explainability",Language,,,3.0
59,PAIR: How randomized response can help collect sensitive information responsibly,https://huggingface.co/spaces/merve/anonymization,Consentful,"Data Exploration, Educational, Privacy",,,,1.0
60,PAIR: Hidden Bias,https://huggingface.co/spaces/merve/hidden-bias,"Inclusive, Rigorous","Data Exploration, Educational, Fairness & Bias",,,,1.0
61,PAIR: Why Some Models Leak Data,https://huggingface.co/spaces/merve/data-leak,"Consentful, Rigorous","Educational, Privacy, Security",,,,1.0
62,PAIR: Datasets Have Worldviews,https://huggingface.co/spaces/merve/dataset-worldviews,"Inquisitive, Rigorous","Data Exploration, Educational, Fairness & Bias",,,,1.0
63,Causing Gender Pronouns,https://huggingface.co/spaces/emilylearning/causing_gender_pronouns,Rigorous,"Correlations, Data Exploration",Language,,,9.0
64,Causing Gender Pronouns 2,https://huggingface.co/spaces/emilylearning/causing_gender_pronouns_two,Rigorous,"Correlations, Data Exploration",Language,,,3.0
65,Generate Class Saliency Plots,https://huggingface.co/spaces/probing-vits/class-saliency,Rigorous,"Explainability, Saliency",Image,,,1.0
66,Image foreground masking or background removal,https://huggingface.co/spaces/taskswithcode/salient-object-detection,Rigorous,"Explainability, Saliency",Image,,,4.0
